項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
108,文教館所,霧峰區以文圖書館,413,臺中市,霧峰區,臺中市霧峰區大同路8號,Education and Culture Facilities,"Wufong District Library ,Taichung City",Taichung City,Wufeng District,"No.8, Datong Rd., Wufeng Dist., Taichung City 413, Taiwan (R.O.C.)"
109,文教館所,東區圖書館,401,臺中市,東區,臺中市東區建德街144號,Education and Culture Facilities,"East District Library,Taichung City",Taichung City,East District,"No.144, Jiande St., East Dist., Taichung City 401, Taiwan (R.O.C.)"
110,文教館所,北屯區圖書館,406,臺中市,北屯區,臺中市北屯區大連路三段122號,Education and Culture Facilities,Taichung City Bei-tun District Library,Taichung City,Beitun District,"No.122, Sec. 3, Dalian Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
111,文教館所,沙鹿區深波圖書館文昌分館,433,臺中市,沙鹿區,臺中市沙鹿區文昌路12號,Education and Culture Facilities,"Wenchang Branch Shalu District Library,Taichung City",Taichung City,Shalu District," No.12 Wenchang St. Shalu Dist., Taichung City 433, Taiwan (R.O.C.)"
112,文教館所,沙鹿區深波圖書館,433,臺中市,沙鹿區,臺中市沙鹿區鎮南路二段488號,Education and Culture Facilities,"Shalu District Library,Taichung City",Taichung City,Shalu District,"No.488, Sec. 2, Zhennan Rd., Shalu Dist., Taichung City 433, Taiwan (R.O.C.)"
113,文教館所,北屯區四張犁圖書館,406,臺中市,北屯區,臺中市北屯區仁和里豐樂路二段158號,Education and Culture Facilities,"Bei-tun District Szu-chang-Li Library,Taichung City",Taichung City,Beitun District,"No. 158, Sec.2, Fengle Road.,Beitun Dist., Taichung City 40680, Taiwan(R.O.C.)"
114,文教館所,西區圖書館,403,臺中市,西區,臺中市西區精誠路256號,Education and Culture Facilities,"West District Library ,Taichung City",Taichung City,West Dist,"No256, Jingcheng Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)"
115,文教館所,大里區圖書館大新分館,412,臺中市,大里區,臺中市大里區大新街36之1號,Education and Culture Facilities,"Dali District Library,Taichung City (Daxin Branch)",Taichung City,Dali District,"No.36-1, Daxin St.,Dali District,Taichung City 412, Taiwan (R.O.C.)"
116,文教館所,大里區圖書館德芳分館,412,臺中市,大里區,臺中市大里區德芳路1段229號4樓,Education and Culture Facilities,"Dali District Library,Taichung City (Defang Branch)",Taichung City,Dali District,"4F,No.229,1Sec.,Defang R.,Dali District,Taichung City 412,Taiwan(R.O.C.)"
117,文教館所,大里區圖書館,412,臺中市,大里區,臺中市大里區中興路1段163號,Education and Culture Facilities,"Dali District Library,Taichung City",Taichung City,Dali District,"No.163,1Sec.,Zhong Xing R.,Dali District,Taichung City 412,Taiwan(R.O.C.)"
118,文教館所,北區圖書館,404,臺中市,北區,臺中市北區永興街299號6樓,Education and Culture Facilities,"North District Library,Taichung City",Taichung City,North District,"No.359, Jianxing Rd., North District, Taichung City, Taiwan (R.O.C.)"
119,文教館所,南區圖書館,402,臺中市,南區,臺中市南區五權南路335號,Education and Culture Facilities,"South District Library,Taichung City",Taichung City,South District,"No.335, Wuquan S. Rd., South Dist., Taichung City 402, Taiwan (R.O.C.)"
120,文教館所,神岡區圖書館,429,臺中市,神岡區,臺中市神岡區中山路1460號,Education and Culture Facilities,"Shengang District Library,Taichung City ",Taichung City,Shengang District,"No.1460, Zhongshan Rd., Shengang District, Taichung City 429, Taiwan (R.O.C.) "
121,文教館所,龍井區圖書館山頂分館,434,臺中市,龍井區,臺中市龍井區中沙路新庄仔巷19-1號,Education and Culture Facilities,"Longjing Rublic Library ,Taichung City (Shanding Branch)",Taichung City,Longjing District,"2F, No.19-1, Xinzhuangzai Ln., Zhonsha Rd., Xin Chuan Village, Long Jing District, Taichung City, 43441, Taiwan (R.O.C.)"
122,文教館所,豐原區圖書館,420,臺中市,豐原區,臺中市豐原區市政路2號,Education and Culture Facilities,"Fengyuan District Library,Taichung City ",Taichung City,Fengyuan District,"No.2, Shizheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
123,文教館所,南屯區圖書館,408,臺中市,南屯區,臺中市南屯區大墩12街361號,Education and Culture Facilities,"Nantun District Library,Taichung City ",Taichung City,Nantun District,"No.361, Da-Dun 12th Street ,NanTun District, Taichung, Taiwan, Taiwan (R.O.C.)"
124,洽公場所,中西區衛生所,403,臺中市,西區,臺中市西區民權路105號,Government Offices,"West Central District Public Health Center, Taichung City",Taichung City,West Dist,"No.105,Minquan Rd ,West District,Taichung City 40341,Taiwam(R.O.C)"
125,洽公場所,東區衛生所,401,臺中市,東區,臺中市東區信義街142號,Government Offices,"East District Public Health Center,Taichung City",Taichung City,East District,"No.142,Xinyi St.,East District, Taichung City, Taiwan (R.O.C.)"
126,洽公場所,南區衛生所,402,臺中市,南區,臺中市南區工學路72號2樓,Government Offices,"South District Public Health Center, Taichung City",Taichung City,South District,"No.80,Aiguo St.,South District,Taichung City 402,Taiwan(R.O.C)"
127,洽公場所,北區衛生所,406,臺中市,北區,臺中市北區永興街301號4樓,Government Offices,"North  District  Public  Health  Center, Taichung City",Taichung City,North District,"4F., No.301, Yongxing St., North District, Taichung City 404, Taiwan"
128,洽公場所,西屯區衛生所,407,臺中市,西屯區,臺中市西屯區西屯路2段299號,Government Offices,"Xitun District Public Health Center,Taichung City",Taichung City,Xitun District,"No.299,Sec.2,Xitun Rd.,Xitun Dist.,Taichung City 407,Taiwan(R.O.C)"
129,洽公場所,南屯區衛生所,408,臺中市,南屯區,臺中市南屯區向心南路811號,Government Offices,"Nantun District Public Health Center,Taichung City",Taichung City,Nantun District,"No.811, Xiangxin S. Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
130,洽公場所,北屯區四民衛生所,406,臺中市,北屯區,臺中市北屯區后庄路1062號,Government Offices,"Beitun Districe Simin Public Health Center,Taichung City",Taichung City,Beitun District,"No. 1062, Houzhuang Rd., Beitun Dist., Taichung City 40679, Taiwan(R.O.C.)"
131,洽公場所,北屯區軍功衛生所,406,臺中市,北屯區,臺中市北屯區軍功路二段十六號,Government Offices," Jun-Gong Public Health Center,Taichung City",Taichung City,Beitun District,"No 16, Sec 2, Jun-Gong  Road , Beitun District, Taichung City, Taiwan (R.O.C.)"
132,洽公場所,豐原區衛生所,420,臺中市,豐原區,臺中市豐原區中興路136號1樓,Government Offices,"Fengyuan District Public Health Center, Taichung City",Taichung City,Fengyuan District,"No.136, Jhongsing Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
133,洽公場所,大甲區衛生所,437,臺中市,大甲區,臺中市大甲區文武里德興路81號,Government Offices,"Dajia District Public Health Center, Taichung City",Taichung City,Dajia District,"No. 81,  Dexing Road,Da-jia District, Taichung City , Taiwan (R.O.C.)"
134,洽公場所,沙鹿區衛生所,433,臺中市,沙鹿區,臺中市沙鹿區文昌街20號,Government Offices,"Shalu District Health Center, Taichung City",Taichung City,Shalu District,"No. 20, Wan Cheong Street, Shalu District, Taichung City, Taiwan (ROC)"
135,洽公場所,后里區衛生所,421,臺中市,后里區,臺中市后里區公安路86號,Government Offices,"Houli District Public Health Center, Taichung City",Taichung City,Houli District,"No.86, Gong’an Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
136,洽公場所,潭子區衛生所,427,臺中市,潭子區,臺中市潭子區中山路二段241巷5號,Government Offices,"Tanzi  District Public Health Center,Taichung City",Taichung City,Tanzi District,"No.5, Ln. 241, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
137,洽公場所,新社區衛生所,426,臺中市,新社區,臺中市新社區新社里興社街四段1號,Government Offices,Sinshe  District Public Health Center Taichung City,Taichung City,Xinshe District,"No.1, Sinshe St., Sinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
138,洽公場所,外埔區衛生所,438,臺中市,外埔區,臺中市外埔區大同里甲后路444號,Government Offices,"Waipu District Public Health Center, Taichung City",Taichung City,Waipu District,"No.444,Jiahou Rd., Waipu Dist., Taichung City438, Taiwan (R.O.C.)"
139,洽公場所,烏日區衛生所,414,臺中市,烏日區,臺中市烏日區長樂街136號,Government Offices,"Wurih District Public Health Center,Taichung",Taichung City,Wuri District,"No.136, Changle St., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
140,洽公場所,龍井區衛生所,434,臺中市,龍井區,臺中市龍井區竹坑里沙田路四段243號,Government Offices,Longjing District Health Center Taichung City,Taichung City,Longjing District,"No.243, Sec. 4, Shatian Rd., Longjing Dist., Taichung City 434, Taiwan (R.O.C.)"
141,洽公場所,太平區衛生所,411,臺中市,太平區,臺中市太平區勤益里中山路1段213之1號,Government Offices,"Taiping District Public Health Center, Taichung City",Taichung City,Taiping District,"No.213-1, Sec. 1, Zhongshan Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
142,洽公場所,和平區衛生所,424,臺中市,和平區,臺中市和平區南勢里東關路三段132號,Government Offices,Health Center of Heping District of Taichung City,Taichung City,Heping District,"No.132, Sec. 3, Dongguan Rd., Heping Dist., Taichung City 424, Taiwan (R.O.C.)"
143,洽公場所,東勢區衛生所,423,臺中市,東勢區,臺中市東勢區中寧里豐勢路490號,Government Offices,"Dong Shih District Public Health Center, Taichung City",Taichung City,Dongshi Dist,"No.490, Fengshi Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
144,洽公場所,清水區衛生所,436,臺中市,清水區,臺中市清水區中山路92號,Government Offices,"Qingshuei  District Public Health Center, Taichung City",Taichung City,Qingshui District,"No.32, Zhongshan Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
145,洽公場所,梧棲區衛生所,435,臺中市,梧棲區,臺中市梧棲區雲集街70巷3號,Government Offices,"Wuci District Public Health Center, Taichung  City",Taichung City,Wuqi District,"No. 3, Lane 70, Yunchi St., Wuci District, Taichung County(R.O.C.)"
146,洽公場所,神岡區衛生所,429,臺中市,神岡區,臺中市神岡區神岡路2號,Government Offices,"Shengang District Public Heaith Center, Taichung  City",Taichung City,Shengang District,"No.2,shengang Rd.,Shengang Dist,Taichung City 42955,Taiwan,ROC"
147,洽公場所,大雅區衛生所,428,臺中市,大雅區,臺中市大雅區中清路二段186號,Government Offices,Daya District Household Registration Office Taichung City,Taichung City,Daya District,"No.186, Sec. 2, Zhongqing Rd., Daya Dist., Taichung City 428, Taiwan (R.O.C.)"
148,洽公場所,石岡區衛生所,422,臺中市,石岡區,臺中市石岡區石岡街6號,Government Offices,"Shihkang District Public Health Center, Taichung City",Taichung City,Shihkang District,"No.6, Shihkang street., ShihkangDistrict., Taichung City42261, Taiwan (R.O.C.)"
149,洽公場所,大安區衛生所,439,臺中市,大安區,臺中市大安區中山南路333號,Government Offices,"Da-an District  public health center, Taichung City",Taichung City,Daan District,"No.333, Zhongshan S. Rd., Da’an Dist., Taichung City 439, Taiwan (R.O.C.)"
150,洽公場所,大肚區衛生所,432,臺中市,大肚區,臺中市大肚區頂街里榮華街1號,Government Offices,"Dadu Distric Public Health Center, Taichung City",Taichung City,Dadu District,"No.1, Ronghua St., Dadu Dist., Taichung City 432, Taiwan (R.O.C.)"
151,洽公場所,霧峰區衛生所,413,臺中市,霧峰區,臺中市霧峰區民生路1之9號,Government Offices,"Wufeng District Public Health Center,Taichung City",Taichung City,Wufeng District,"No.1-9, Minsheng Rd., Wufeng Dist., Taichung City 413, Taiwan (R.O.C.)"
152,洽公場所,大里區衛生所,412,臺中市,大里區,臺中市大里區大衛路82號,Government Offices,Dali District  Public Health Center Taichung City,Taichung City,Dali District,"No.82, Dawei Rd., Dali District, Taichung City, Taiwan(R.O.C.)"
153,洽公場所,梨山衛生所,424,臺中市,和平區,臺中市和平區梨山里中正路68號,Government Offices,Heping District Lee Mountain Public Health Center Taichung City,Taichung City,Heping District,"No. 68, Zhongzheng Road, Lishan Li , Heping District, Taichung City,Taiwan (R.O.C)"
154,洽公場所,臺中市議會,407,臺中市,西屯區,臺中市西屯區市政北一路52之1號,Government Offices,Taichung City Council Service Centre,Taichung City,Xitun District,"No.56, Shizheng N. 1st Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
155,文教館所,東勢客家文化園區,423,臺中市,東勢區,臺中市東勢區廣興里中山路1號,Education and Culture Facilities,Dongshin Old Train Station Hakka Culture Park,Taichung City,Dongshi Dist,"No.1, Zhongshan Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
156,洽公場所,政府陽明大樓-中庭,420,臺中市,豐原區,臺中市豐原區陽明街36號,Government Offices,Yangming Municipal Building Atrium of Taichung City Government,Taichung City,Fengyuan District,"No.36, Yangming St., Fengyuan Dist., Taichung City 42007, Taiwan (R.O.C.)"
157,文教館所,豐原漆藝館,420,臺中市,豐原區,臺中市豐原區水源路1-1號,Education and Culture Facilities,Fengyuan Museum of Lacquer Art,Taichung City,Fengyuan District,"No.1-1, Shuiyuan Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
158,文教館所,土牛客家文化館,422,臺中市,石岡區,臺中市石岡區土牛村豐勢路德成巷10號,Education and Culture Facilities,Tu Niu Hakka Cultural Building,Taichung City,Shihkang District,"No.10, Fengshi Rd., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
159,文教館所,孔廟忠烈祠聯合管理所,406,臺中市,北區,臺中市北區雙十路二段30號,Education and Culture Facilities,"Confucius District Household Registration Office,Taichung City",Taichung City,North District,"No.30, Sec. 2, Shuangshi Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
160,洽公場所,生命禮儀管理所崇德殯儀館,406,臺中市,北區,臺中市北區崇德路1段50號,Government Offices,Chongdea Funeral Home of Mortuary Services Office Taichung City,Taichung City,North District,"No.50, Sec. 1, Chongde Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
161,洽公場所,生命禮儀管理所東海館,407,臺中市,西屯區,臺中市西屯區福順路1177號,Government Offices,Tunghai Building of Mortuary Services Office Taichung City,Taichung City,Xitun District,"No.1177, Fushun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
162,洽公場所,生命禮儀管理所大甲館,437,臺中市,大甲區,臺中市大甲區頂店里中山路一段1158巷50號,Government Offices,Dajia Building of Mortuary Services Office Taichung City,Taichung City,Dajia District,"No.52, Ln. 1158, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
163,洽公場所,生命禮儀管理所十三公墓,407,臺中市,西屯區,臺中市西屯區西平北巷1-12號,Government Offices,Thirteen Cemetery of Mortuary Services Office Taichung City,Taichung City,Xitun District,"No.1-12, Xiping N. Ln., Sec. 3, Xitun Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
